,id,created_at,updated_at,name,contact_person,postal_address,email,image_url,is_active,mobile_number,physical_address,telephone_number,deleted_at
0,-Mc8zjDJ1SqWP2gIR8hw,2021-05-15 14:06:42,2021-02-15 13:29:35,AAR Insurance Company Limited,,,info@aar.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,703063000,"Real Tower, Upperhill, Nairobi ,Kenya",202895000,
1,-Mc8zjDJ1SqWP2gIR8hx,2021-04-04 16:36:24,2021-04-01 21:20:08,Africa Merchant Assurance Company Limited,,p.o.box 61599-00200,info@amaco.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,738312121,"NextGen Mall, 4th Flr, Mombasa Road, Nairobi,Kenya",202204000,
2,-Mc8zjDJ1SqWP2gIR8hy,2021-04-04 04:47:03,2021-05-04 23:14:13,AIG Kenya Insurance Company Limited,,p.o.box 49460-00100,aigkenya@aig.com,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,203676000,"AIG House, Chiromo Road",723600400,
3,-Mc8zjDJ1SqWP2gIR8hz,2021-01-23 16:10:29,2021-05-14 04:17:40,Allianz Insurance Company of Kenya Limited,,p.o. box 66257-00800 Nairobi,customerservice@online.allianz.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,709566000,"Allianz Plaza, 96 Riverside Drive",709566000,
4,-Mc8zjDJ1SqWP2gIR8i-,2021-05-29 19:56:46,2021-02-24 18:07:55,APA Insurance Limited,,,info@apainsurance.org,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,203641000,"Apollo Centre, Ring Road Parklands, Westlands",203641000,
5,-Mc8zjDJ1SqWP2gIR8i0,2021-04-28 00:23:14,2021-03-14 19:23:38,APA Life Assurance Company Limited,,,info@apainsurance.org,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,203641000,"Apollo Centre, Ring Road Parklands, Westlands",203641000,
6,-Mc8zjDJ1SqWP2gIR8i1,2021-01-01 14:20:48,2021-06-02 09:37:21,Barclays Life Assurance Kenya Limited,,,absa.kenya@absa.africa,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,722130120,"ABSA Bank, Loita Street",203900000,
7,-Mc8zjDJ1SqWP2gIR8i2,2021-01-03 00:25:54,2021-06-07 10:25:03,Britam General Insurance Company (K) Limited,,p.o.box 30375-00100,info@britam.com,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,705100100,"Britam Towers, Upperhill, Nairobi, Kenya",705100100,
8,-Mc8zjDJ1SqWP2gIR8i3,2021-02-25 06:19:15,2021-05-09 09:35:21,Britam Life Assurance  Company (K)  Limited,,p.o.box 30375-00100,info@britam.com,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,705100100,"Britam Towers, Upperhill, Nairobi, Kenya",705100100,
9,-Mc8zjDJ1SqWP2gIR8i4,2021-04-25 02:51:17,2021-02-06 19:29:21,Cannon Assurance Company Limited,,p.o.box 30216-00100,info@metcannon.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,783342150,"Gateway Business Park, Mombasa Road",203966000,
10,-Mc8zjDJ1SqWP2gIR8i5,2021-01-31 13:18:20,2021-02-11 20:31:09,Capex Life Asssurance Company Limited,,,info@capexlifeassurance.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,715140074,"Galanza Plaza, Kilimani, Nairobi",202712384,
11,-Mc8zjDJ1SqWP2gIR8i6,2021-02-15 08:16:02,2021-04-09 13:52:17,CIC General Insurance Company Limited,,,info@cic.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,703099120,"CIC Plaza, Mara Road, UpperHill, Nairobi",202823000,
12,-Mc8zjDJ1SqWP2gIR8i7,2021-03-01 03:28:02,2021-03-25 06:46:27,CIC Life Assurance Company Limited,,,info@cic.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,703099120,"CIC Plaza, Mara Road, UpperHill, Nairobi",202823000,
13,-Mc8zjDJ1SqWP2gIR8i8,2021-01-07 14:24:26,2021-05-10 06:29:17,Continental Reinsurance Limited (Kenya),,"p.o.box 2401, Lagos, Nigeria",info@continental-re.com,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,7080671600,"Continental Re Center, 17, Olosa Street",7080671600,
14,-Mc8zjDJ1SqWP2gIR8i9,2021-01-02 13:53:21,2021-06-03 20:21:12,Corporate Insurance Company Limited,,"p. o. box 34172, 00100 Nairobi, Kenya",info@cickenya.com,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,774024778,"Corporate Place, Kiambere Road, off Lowerhill Road",770366958,
15,-Mc8zjDJ1SqWP2gIR8iA,2021-05-20 21:12:37,2021-03-10 03:45:47,Directline Assurance Company Limited,,"p.o. box 40863 Nairobi, GPO 00100 Kenya",info@directline.co.ke,https://studiousguy.com/wp-content/uploads/2020/07/insurance-1.jpg,T,711030000,"Hazina Towers, 17th Flr. Monrovia Street",203250000,
