"id","created_at","updated_at","name","contact_person","postal_address","email","image_url","is_active","mobile_number","physical_address","telephone_number","deleted_at"
"-MOlZXD5eVpZXUyFmlAL","2020-12-17 19:39:31.463397+03","2020-12-17 19:39:31.463411+03","AIG Kenya Insurance Company Limited","Ian thuo","P.O. Box 49460 - 00100 ","aigkenya@aig.com","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{}","AIG Hse, Eden Square Complex,Chiromo Rd,Parklands/Highridge","{0203676000}",
"-MOlZXD5eVpZXUyFmlAM","2020-12-17 19:39:31.463448+03","2020-12-17 19:39:31.463455+03","APA Insurance Limited","John kimeu","P.O BOX 30065 – 00100","info@apainsurance.org","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254709912777}","Apollo Centre, Ring Rd Parklands, Nairobi","{O202862000 }",
"-MOlZXD5eVpZXUyFmlAN","2020-12-17 19:39:31.463486+03","2020-12-17 19:39:31.463492+03","Britam General Insurance Company (K) Limited","Eddy ayata","P.O. Box 30375-00100 ","info@britam.com","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254703094000}","Head Office Britam Centre Mara/Ragati Road Junction, Upperhill ","{0202833000}",
"-MOlZXD5eVpZXUyFmlAO","2020-12-17 19:39:31.463522+03","2020-12-17 19:39:31.463528+03","Britam Life Assurance  Company (K)  Limited","Eddy ayata","P.O. Box 30375-00100 ","info@britam.com","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254703094000}","Head Office Britam Centre Mara/Ragati Road Junction, Upperhill ","{0202833000}",
"-MOlZXD5eVpZXUyFmlAP","2020-12-17 19:39:31.463558+03","2020-12-17 19:39:31.463564+03","CIC General Insurance Company Limited","Erastus sifuma","P.O.Box 59485 – 00200","info@cic.co.ke","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254703099120}","CIC PLAZA, Mara Road, Upper Hill, Nairobi, KENYA.","{0202823000}",
"-MOlZXD5eVpZXUyFmlAQ","2020-12-17 19:39:31.463593+03","2020-12-17 19:39:31.463599+03","CIC Life Assurance Company Limited","Erastus sifuma","P.O.Box 59485 – 00200","info@cic.co.ke","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254703099120}","CIC PLAZA, Mara Road, Upper Hill, Nairobi, KENYA.","{0202823000}",
"-MOlZXD5eVpZXUyFmlAR","2020-12-17 19:39:31.463628+03","2020-12-17 19:39:31.463634+03","Directline Assurance Company Limited","Head office","P. O. Box 40863 – 00100 ","info@directline.co.ke","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{0711030000}","17th flr,Hazina Tws, Monrovia St, Starehe","{0203250000}",
"-MOlZXD5eVpZXUyFmlAS","2020-12-17 19:39:31.463663+03","2020-12-17 19:39:31.463669+03","Fidelity Shield Insurance Company Limited","Mercy kirombe","P.O.Box 47435 - 00100","info@fidelityshield.com","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{0709988300}","5th Floor, Waridi Lane, Off Waiyaki Way, Westlands","{}",
"-MOlZXD5eVpZXUyFmlAT","2020-12-17 19:39:31.463697+03","2020-12-17 19:39:31.463703+03","Geminia Insurance Co. Limited","Roselyne mose","P. O. Box 61316 – 00200 ","info@geminia.co.ke","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{}","Le’Mac, 5th FloorChurch Road, Off Waiyaki Way","{+254202782000 }",
"-MOlZXD5eVpZXUyFmlAU","2020-12-17 19:39:31.463732+03","2020-12-17 19:39:31.463737+03","ICEA Lion General Insurance Company Limited","Sophie amatete","P.O Box  46143 - 00100","insurance@icealion.com","https://res.cloudinary.com/dsw3onksq/image/upload/v1595314246/insurance-co_qr2qog.png",TRUE,"{+254719071000}","ICEA LION Centre, Riverside Park on Chriomo Road, Westlands","{+254202750000}",
